category,signature,summary,xml_exists,r_equiv,py_equiv,js_equiv,excel_equiv,notes
base,type(value:any):string,"Get the type of a value e.g type([1,2]) => ""array[integer]""",,typeof,type,typeof,TYPE,
base,boolean(value:any):boolean,Coerce a value into a boolean,,as.logical,bool,new Boolean,,
base,number(value:any):number,Coerce a value into a number,,as.double,float,"new Number, parseFloat","DECIMAL, VALUE",
base,integer(value:any):integer,Coerce a value into an integer,,as.integer,int,parseInt,INT,
base,string(value:any):string,Coerce a value into a string,,as.character,str,new String,T,
base,date(value:any):string,Coerse a value into a date,,as.POSIXct,datetime.datetime,new Date,DATE,
base,"array(length:integer=0,type:string=""any""):array",Create a new array of length and type,,vector,list,new Array,,
base,,,,,,,,
base,table(value:object):table,Coerce an object (or arrays of equal length) into a table,,"do.call(rbind.data.frame, your_list)",,,,
base,table(value:array):table,Coerce an array or objects (having the same properties) into a table,,as.data.frame,,,,
base,length(value:any):integer,"Get the length of a value: 1 for atomics, number of properties for object (incl tables)",,length,,,,
base,rows(value:table):integer,Get the number of rows in a table,,nrow,,,,
base,cols(value:table):integer,Get the number of cols in a table,,ncol,,,,
base,,,,,,,,
base,"concat(a:any,b:any)","Concatenate two values (behaviour will depend up the types of a and b) e.g. concat([1,2],3) => [1,2,3], concat({a:1,b:2},{c:3}) => {a:1,b:2,c:3}",,c,,_.concat,,
base,"select(value:object, name:string): any","Select a property from an object e.g. select(person, 'surname') or table e.g. select(countries, 'population')",,,,,,
base,"select(value:array, index: integer): any","Select an item from an array e.g. select(samples, 10)",,,,,,
base,"row(value:table, index:integer): object",Select a table row by index,,,,,,
base,"col(value:table, index:integer): array",Select a table column by index,,,,,,
base,"col(value:table, name:string): array",Select a table column by name,,,,,,
base,,,,,,,,
math,abs(value:number):number,Returns the absolute value of a number,,abs,,,ABS,
math,ceil(value:number):integer,Rounds a number to the nearest integer or to the nearest multiple of significance,,ceil,,_.ceil,CEILING,
math,"combs(n:integer, k:integer):integer",Returns the number of combinations for a given number of objects,,choose,,,COMBIN,
math,even(value:number):integer,Rounds a number up to the nearest even integer,,,,,EVEN,
math,exp(value:number):number,Returns e raised to the power of a given number,,exp,,,EXP,
math,fact(n:integer):integer,Returns the factorial of a number,,factorial,,,FACT,
math,,Returns the double factorial of a number,,,,,FACTDOUBLE,
math,floor(value:number):integer,"Rounds a number down, to the nearest integer or to the nearest multiple of significance",,floor,,_.floor,"INT, FLOOR.MATH",
math,,Returns the greatest common divisor,,,,,GCD,
math,,Returns the least common multiple,,,,,LCM,
math,ln(value:number):number,Returns the natural logarithm of a number,,log,,,LN,
math,"log(value:number,base:number=null):number","Returns the logarithm of a number to a specified base (if base is null, then equivalent to ln(value))",,log,,,LOG,
math,log2(value:number):number,Returns the base-2 logarithm of a number,,log2,,,,
math,log10(value:number):number,Returns the base-10 logarithm of a number,,log10,,,LOG10,
math,odd(value:number):integer,Rounds a number up to the nearest odd integer,,,,,ODD,
math,"perms(n:integer, k:integer):integer",Returns the number of permutations for a given number of objects,,"choose(n,k) * factorial(k)",,,PERMUT,
math,pi():number,Return pi (the ratio of the circumference of a circle to its diameter),,pi,,,PI,
math,"power(value:number,exponent:number):number",Returns the result of a number raised to a power,,,,,POWER,Available as the ^ operator
math,"round(value:number, digits:integer=0):number",Rounds a number to a specified number of digits,,round,,_.round,ROUND,
math,sign(value:number):number,Returns the sign of a number,,sign,,,SIGN,
math,sqrt(value:number):number,Returns a positive square root,,sqrt,,,SQRT,
math,trunc(value:number):integer,Truncates a number to an integer,,trunc,,,TRUNC,
trig,acos(value:number):number,Returns the arccosine of a number,,acos,,,ACOS,
trig,acosh(value:number):number,Returns the inverse hyperbolic cosine of a number,,acosh,,,ACOSH,
trig,acot(value:number):number,Returns the arccotangent of a number,,pracma::acot,,,ACOT,
trig,acoth(value:number):number,Returns the hyperbolic arccotangent of a number,,-,,,ACOTH,
trig,asin(value:number):number,Returns the arcsine of a number,,asin,,,ASIN,
trig,asinh(value:number):number,Returns the inverse hyperbolic sine of a number,,asinh,,,ASINH,
trig,atan(value:number):number,Returns the arctangent of a number,,atan,,,ATAN,
trig,"atan2(x:number,y:number):number",Returns the arctangent from x- and y-coordinates,,-,,,ATAN2,
trig,atanh(value:number):number,Returns the inverse hyperbolic tangent of a number,,atanh,,,ATANH,
trig,cos(value:number):number,Returns the cosine of a number,,cos,,,COS,
trig,cosh(value:number):number,Returns the hyperbolic cosine of a number,,cosh,,,COSH,
trig,cot(value:number):number,Returns the hyperbolic cosine of a number,,pracma::cot,,,COT,
trig,coth(value:number):number,Returns the cotangent of an angle,,-,,,COTH,
trig,csc(value:number):number,Returns the cosecant of an angle,,pracma::csc,,,CSC,
trig,csch(value:number):number,Returns the hyperbolic cosecant of an angle,,-,,,CSCH,
trig,degrees(value:number):number,Converts radians to degrees,,-,,,DEGREES,
trig,radians(value:number):number,Converts degrees to radians,,-,,,RADIANS,
trig,sec(value:number):number,Returns the secant of an angle,,pracma::sec,,,SEC,
trig,sech(value:number):number,Returns the hyperbolic secant of an angle,,-,,,SECH,
trig,sin(value:number):number,Returns the sine of the given angle,,sin,,,SIN,
trig,sinh(value:number):number,Returns the hyperbolic sine of a number,,sinh,,,SINH,
trig,tan(value:number):number,Returns the tangent of a number,,tan,,,TAN,
trig,tanh(value:number):number,Returns the hyperbolic tangent of a number,,tanh,,,TANH,
summary,,,,max,,_.max,MAX,
summary,,,,mean,,,AVERGAE,
summary,,,,median,,,MEDIAN,
summary,,,,min,,_.min,MIN,
summary,,,,mode,,,MODE.SNGL,
summary,,,,prod,,,PRODUCT,
summary,,,,range,,,,
summary,,,,sd,,,STDEV.P/STDEV.S,
summary,,,,sum,,_.sum,SUM,
summary,,,,var,,,VARIANCE,
summary,,,,,,,,
text,camel_case(value:string):string,Converts string to camel case e.g. camelCase,,,,_.camelCase,,
text,capitalize(value:string):string,Converts the first character of string to upper case and the remaining to lower case,,,,_.capitalize,,
text,"join(values:array, separator:string):string",Converts all elements in array into a string separated by separator.,,paste,str.join,"Array.join, _.join",TEXTJOIN,
text,kebab_case(value:string):string,Converts string to kebab case e.g. kebab-case,,,,_.kebabCase,,
text,lower_case(value:string):string,"Converts string, as space separated words, to lower case",,,,_.lowerCase,LOWER,
text,lower_first(value:string):string,Converts the first character of string to lower case,,,,_.lowerFirst,,
text,snake_case(value:string):string,Converts string to snake case e.g. snake_case,,,,_.kebabCase,,
text,"split(value:string,separator:string):array[string]",Splits string by separator,,strsplit,,_.split,,
text,upper_case(value:string):string,"Converts string, as space separated words, to upper case.",,,,_.upperCase,UPPER,
text,upper_first(value:string):string,Converts the first character of string to upper case,,,,_.upperFirst,,
stats,t_test,,,,,,,
stats,z_test,,,,,,,
stats,lin_reg,,,,,,,
stats,f_test,,,,,,,
